date,GNP,GNP82,GC,GPI,GIF,GPOP,M2,POP,LHUR,BCTURNPT,HALL,PRESCOTT,YPOTDEN,DENISON
1951:01,322.8999939,1286.599976,209.1000061,62.20000076,51.70000076,153.3359985,211.365,153824,3.500000079,0,3.6,,466.4,-5.804916124
1951:02,330.8999939,1320.400024,204.6999969,65.30000305,50,153.9470062,213.06,154432.6667,3.099999984,0,,,,
1951:03,337.7000122,1349.800049,207.3000031,59.90000153,49.59999847,154.6549988,215.992,155124,3.166666587,0,,,,
1951:04,342.1000061,1356,211.3000031,54.59999847,49.59999847,155.3890076,219.795,155863,3.366666635,0,,,,
1952:01,345.2000122,1369.199951,212.6999969,55.5,50.40000153,156.0330048,222.911,156522.3333,3.066666683,0,0.5,,493.8,-5.765050689
1952:02,345.7000122,1365.900024,216.8999939,49,51.29999924,156.6439972,225.202,157142,2.966666698,0,,,,
1952:03,351.6000061,1378.199951,219.3000031,52.5,48.20000076,157.3240051,227.905,157801.3333,3.233333349,0,,,,
1952:04,364,1406.800049,227.3999939,57,51.79999924,158.0429993,230.792,158534.6667,2.833333333,0,,,,
1953:01,370.7000122,1431.400024,230.8999939,56.5,54,158.647995,232.579,159164,2.699999968,0,2.3,,513,-5.743566374
1953:02,374.1000061,1444.900024,232.6999969,57.70000076,54.59999847,159.2339935,234.778,159752.3333,2.566666683,0,,,,
1953:03,373.2999878,1438.199951,233.6000061,55.70000076,55,159.9629974,236.199,160450.3333,2.733333349,0.333333333,,,,
1953:04,368.2000122,1426.599976,233.3000031,49.70000076,54.29999924,160.7129974,237.711,161218,3.699999968,0,,,,
1954:01,367.8999939,1406.800049,235.5,50.90000153,53.5,161.3890076,239.589,161908.6667,5.266666571,0,-1.8,,522.4,-5.742877098
1954:02,368.1000061,1401.199951,238.1999969,52,54.59999847,162.0440063,241.743,162568,5.800000032,-0.333333333,,,,
1954:03,372.7999878,1418,240.5,54.70000076,56.79999924,162.7920074,245.088,163295.3333,5.966666698,0,,,,
1954:04,381.2000122,1438.800049,245.1000061,58.90000153,58.09999847,163.5850067,247.654,164101,5.333333333,0,,,,
1955:01,394,1469.599976,251.1000061,64.80000305,60.40000153,164.2660065,250.403,164805,4.73333327,0,5.4,,539.1,-5.729072613
1955:02,402.2999878,1485.699951,256.1000061,69.59999847,63.5,164.9259949,252.052,165469.6667,4.399999936,0,,,,
1955:03,410.5,1505.5,260.2000122,71.30000305,65.69999695,165.673996,253.289,166198.6667,4.099999905,0,,,,
1955:04,416.8999939,1518.699951,264.2000122,73.30000305,66.59999847,166.4810028,254.252,167016,4.23333327,0,,,,
1956:01,419.5,1515.699951,265.7999878,72.80000305,66.5,167.1900024,255.031,167745.3333,4.033333302,0,-1.9,-1.533438554,564.7,-5.700516813
1956:02,425.1000061,1522.599976,268.3999939,72.19999695,67.80000305,167.8690033,256.222,168438.6667,4.200000127,0,,,,
1956:03,429.8999939,1523.699951,271.5,72.80000305,68.90000153,168.654007,257.276,169194,4.133333365,0,,,,
1956:04,438.2999878,1540.599976,276.7000122,72.90000153,69,169.496994,258.925,170052.6667,4.133333365,0,,,,
1957:01,447.2999878,1553.300049,280.8999939,71.90000153,69.59999847,170.2180023,261.17,170802,3.933333317,0,0.5,0.871664944,578.1,-5.694961078
1957:02,449.3999939,1552.400024,283.2000122,71.69999695,69.19999695,170.9149933,263.049,171504.3333,4.100000064,0,,,,
1957:03,456.5,1561.5,287.7000122,73.59999847,70.40000153,171.6840057,264.836,172259.6667,4.23333327,0.333333333,,,,
1957:04,450.8999939,1537.300049,289.3999939,67.09999847,69.40000153,172.4629974,265.615,173061.3333,4.933333238,0,,,,
1958:01,443.8999939,1506.099976,289,59.5,64.90000153,173.1159973,268.272,173741.3333,6.300000032,0,-2.2,2.122179105,598.9,-5.67637175
