date,nomR,pop,GDPdeflator,P,C,I,Y,M2,c,i,y,realbalance,cy,iy,realR
1960q1,4.51,,23.80426,,,,,,,,,,,,
1960q2,4.83,,23.484917,-5.4024777,,,,,,,,,,,10.232478
1960q3,5.54,,24.636242,19.144094,,,,,,,,,,,-13.604095
1960q4,5.51,,24.263292,-6.1016016,,,,,,,,,,,11.611602
1961q1,4.17,,24.69335,7.0277467,,,,,,,,,,,-2.8577466
1961q2,3.23,,24.796696,1.6705747,,,,,,,,,,,1.5594254
1961q3,3.1,,25.563887,12.188108,,,,,,,,,,,-9.0881081
1961q4,3.86,,25.658192,1.4728827,,,,,,,,,,,2.3871171
1962q1,2.96,34123.84,25.699602,.64505035,12.828058,6.4012885,,.000047322079,2.5516348,1.8564993,,-9.9585333,,,2.3149498
1962q2,3.1,34166.814,26.019733,4.9518871,13.09987,6.3169341,,.000047805912,2.5726023,1.8432339,,-9.9483614,,,-1.8518871
1962q3,3.25,34208.757,26.497417,7.2768183,13.170081,6.4111943,,.000047658777,2.5779476,1.8580456,,-9.9514437,,,-4.0268183
1962q4,4.38,34140.147,26.440178,-.86501181,13.407852,6.3636971,,.000048744198,2.5958405,1.8506095,,-9.9289246,,,5.2450118
1963q1,3.38,34173.604,26.745632,4.594573,13.193198,5.2634449,,.000048030917,2.5797014,1.6607858,,-9.9436655,,,-1.214573
1963q2,3.66,34288.21,26.932932,2.7914381,13.388199,6.6968594,,.000048620328,2.5943737,1.9016386,,-9.931469,,,.86856192
1963q3,3.85,34194.766,27.100689,2.4837511,13.597402,6.8958898,,.000049638409,2.6098788,1.9309255,,-9.9107456,,,1.366249
1963q4,5.04,34207.26,27.106928,.0920747,13.717047,6.8675737,,.000050687315,2.6186392,1.9268109,,-9.8898344,,,4.9479251
1964q1,3.37,34117.125,27.439808,4.8821864,14.05119,6.790822,,.000050525156,2.6427071,1.915572,,-9.8930387,,,-1.5121864
1964q2,3.66,34250.566,27.614492,2.5383682,14.006042,7.2026968,,.00005127869,2.6394887,1.9744555,,-9.8782349,,,1.1216317
1964q3,3.89,34163.463,27.962971,5.0161753,14.214526,7.2555714,,.000051292147,2.6542645,1.9817697,,-9.8779726,,,-1.1261753
1964q4,5.43,34175.325,28.133812,2.4363856,14.564591,7.3994713,,.000052107051,2.6785934,2.0014086,,-9.8622103,,,2.9936144
1965q1,4.04,34287.919,28.4995,5.165771,14.727158,7.1089921,,.000052190542,2.6896932,1.9613605,,-9.8606091,,,-1.125771
1965q2,4.67,34374.246,28.711536,2.9649818,15.062191,7.5536075,,.000052485597,2.7121878,2.0220253,,-9.8549719,,,1.7050182
1965q3,5.24,34328.806,28.921883,2.9197943,15.2063,7.6065044,,.000052475003,2.7217097,2.0290036,,-9.8551741,,,2.3202057
1965q4,6.600000000000001,34270.387,29.147835,3.1128554,15.490528,7.6109018,,.000052957854,2.7402287,2.0295818,,-9.846014,,,3.4871445
1966q1,5.43,34375.959,29.531685,5.2332478,15.538368,7.6817088,,.000052995529,2.7433124,2.038842,,-9.8453026,,,.19675225
1966q2,6.46,34393.514,29.733408,2.7230043,15.539946,7.6178508,,.000053782558,2.7434139,2.0304942,,-9.8305616,,,3.7369957
1966q3,6.9,34179.197,30.013145,3.7456825,15.752487,7.5019898,,.000054492713,2.7569983,2.0151682,,-9.8174438,,,3.1543176
1966q4,7.73,33923.206,29.970421,-.5698176,15.736062,7.5065327,,.000055178913,2.755955,2.0157738,,-9.8049297,,,8.299818
1967q1,5.43,33541.582,30.219593,3.3118269,16.130177,7.1969604,,.000056925081,2.7806919,1.9736588,,-9.7737741,,,2.1181731
1967q2,4.05,33411.673,30.389055,2.2368114,16.055477,6.9694471,,.000057517158,2.7760501,1.9415359,,-9.7634268,,,1.8131886
1967q3,3.5,33417.689,30.159033,-3.0392179,16.140902,7.0210485,,.000059532955,2.7813566,1.9489126,,-9.7289801,,,6.5392179
1967q4,4.09,33247.049,30.376474,2.8735862,16.490051,7.6857381,,.000062281659,2.8027573,2.0393665,,-9.6838436,,,1.2164139
1968q1,3.43,33176.656,30.019304,-4.7311158,16.621929,7.4364967,,.000064662519,2.8107228,2.0063999,,-9.6463289,,,8.1611156
1968q2,3.68,33159.118,30.966084,12.42075,16.917458,7.2628541,,.000064471642,2.828346,1.9827728,,-9.6492853,,,-8.7407494
1968q3,3.56,33292.103,31.292501,4.1943893,17.155169,7.4107089,,.000065848006,2.8422995,2.0029261,,-9.6281614,,,-.63438934
1968q4,4.560000000000001,33483.568,31.82674,6.7713308,17.331238,7.7640076,,.000067562949,2.8525105,2.0494986,,-9.6024504,,,-2.2113309
1969q1,4,33602.268,31.222775,-7.6636181,17.738356,7.9381003,,.000068435962,2.8757293,2.0716741,,-9.589612,,,11.663618
1969q2,4.76,33531.772,32.074326,10.763241,18.059196,8.0513554,,.000068804635,2.8936551,2.0858405,,-9.584239,,,-6.0032406
1969q3,6.41,33631.955,32.513546,5.4403677,18.356346,8.2549868,,.000071056624,2.9099753,2.1108174,,-9.5520334,,,.96963233
1969q4,7.98,33775.312,33.392605,10.671064,18.540525,8.2024975,,.000068183086,2.9199588,2.1044388,,-9.5933142,,,-2.6910644
1970q1,9.540000000000001,33883.43,34.197369,9.5256948,18.798151,8.0135098,32.417988,.000067142813,2.9337585,2.0811288,3.4787135,-9.6086884,-.54495502,-1.3975847,.014305153
1970q2,9.890000000000001,33948.528,34.52573,3.8224587,19.22794,8.6551466,33.619167,.000069192181,2.9563644,2.158154,3.5150964,-9.5786228,-.55873203,-1.3569424,6.0675411
1970q3,9.370000000000001,34045.2,35.100956,6.6094074,19.590321,9.0934839,34.151234,.00006945496,2.9750357,2.2075582,3.5307987,-9.574832,-.55576301,-1.3232405,2.7605925
1970q4,8.83,34101.646,35.095146,-.066212043,19.796766,9.07582,34.39386,.000070939037,2.9855187,2.2056136,3.537878,-9.55369,-.55235934,-1.3322644,8.8962116
1971q1,7.48,34244.329,36.789715,18.862192,19.75506,8.9031162,33.529617,.000070564565,2.9834096,2.1864014,3.5124292,-9.5589828,-.52901959,-1.3260279,-11.382193
1971q2,6.44,34237.365,37.136223,3.7498131,20.175016,9.2183142,34.231274,.000072279887,3.0044451,2.2211921,3.5331397,-9.5349646,-.52869463,-1.3119476,2.690187
1971q3,7.600000000000001,34223.738,37.71769,6.214541,20.415335,9.2154789,34.829433,.000072975716,3.0162864,2.2208846,3.5504627,-9.5253839,-.53417635,-1.3295782,1.3854591
1971q4,7.07,34217.871,37.871243,1.6251397,20.678326,9.2339754,34.814381,.000074930169,3.0290861,2.2228897,3.5500305,-9.4989538,-.52094436,-1.3271408,5.4448605
1972q1,4.96,34171.855,38.64399,8.0796804,21.069275,9.260088,34.858727,.000076408323,3.0478158,2.2257135,3.5513036,-9.4794188,-.50348783,-1.3255901,-3.1196804
1972q2,4.71,34129.956,38.737614,.96792161,21.169603,9.2884159,35.469913,.000079418322,3.0525663,2.2287681,3.5686848,-9.4407816,-.51611853,-1.3399167,3.7420783
1972q3,4.92,34156.602,39.210987,4.8583732,21.564325,9.4831886,36.271118,.000081534272,3.0710404,2.2495205,3.5910218,-9.4144869,-.51998138,-1.3415012,.061626837
1972q4,7.850000000000001,34202.885,39.699924,4.9569178,21.729223,9.5705805,36.791439,.000083366969,3.0786581,2.2586939,3.6052651,-9.3922586,-.52660704,-1.3465712,2.8930821
1973q1,8.210000000000001,34342.249,40.859066,11.511778,21.754826,9.6516657,37.098125,.000086445747,3.0798357,2.2671306,3.6135664,-9.3559933,-.53373075,-1.3464358,-3.3017778
1973q2,12.22,34470.784,41.147152,2.8103929,21.957041,9.4658566,37.231426,.000087565022,3.089088,2.2476914,3.6171532,-9.3431292,-.5280652,-1.3694618,9.4096069
1973q3,14.37,34511.061,41.710995,5.4440174,21.86581,9.3399963,37.292053,.000088989807,3.0849242,2.2343059,3.6187801,-9.3269892,-.53385592,-1.3844743,8.9259825
1973q4,13.77,34446.982,42.46365,7.1534615,21.811642,9.0924149,37.421879,.000088327106,3.082444,2.2074406,3.6222556,-9.3344631,-.53981161,-1.4148149,6.6165385
1974q1,11.32,34450.055,43.330551,8.0838184,21.640808,9.0938749,37.703991,.000089566842,3.0745809,2.2076011,3.629766,-9.3205252,-.55518508,-1.4221649,3.2361815
1974q2,9.540000000000001,34345.744,44.028145,6.3884516,21.80924,8.6081915,37.764351,.000089208996,3.0823338,2.1527143,3.6313655,-9.3245287,-.54903173,-1.4786513,3.1515484
1974q3,9.609999999999999,34218.014,44.952,8.3064642,22.105013,8.4998102,37.876392,.000086921573,3.0958045,2.1400437,3.6343281,-9.3505039,-.53852367,-1.4942844,1.3035358
1974q4,9.140000000000001,34108.79,45.974216,8.9941921,22.130919,8.4056435,37.47578,.000086217624,3.0969756,2.1289034,3.6236949,-9.3586359,-.52671933,-1.4947915,.14580788
1975q1,6.63,33932.204,46.563892,5.0978684,22.715893,8.7078543,37.45171,.000086011816,3.1230648,2.1642253,3.6230524,-9.3610258,-.4999876,-1.458827,1.5321316
1975q2,4.92,33884.631,46.97485,3.5147789,22.83301,7.9790649,37.267742,.000081986502,3.1282072,2.0768213,3.6181281,-9.4089556,-.48992085,-1.5413067,1.4052211
1975q3,4.16,33794.898,47.104515,1.1026049,23.125282,8.2584505,37.760551,.000082857368,3.1409266,2.111237,3.6312649,-9.3983898,-.49033833,-1.5200279,3.0573952
1975q4,4.13,33592.585,47.700447,5.0287652,23.558126,8.5891457,38.746277,.000084748863,3.1594708,2.1504993,3.6570346,-9.3758183,-.49756384,-1.5065353,-.89876521
1976q1,3.8,33487.989,47.969391,2.2489386,23.855255,8.5332232,39.225605,.000084848187,3.1720045,2.1439672,3.6693296,-9.3746471,-.49732518,-1.5253625,1.5510614
1976q2,3.84,33477.002,48.464283,4.1055903,24.063437,8.6703329,39.812099,.00008709111,3.1806936,2.1599071,3.684171,-9.3485556,-.50347733,-1.5242639,-.26559034
1976q3,4.53,33469.361,48.855247,3.2138801,24.201405,8.5512733,39.827995,.000087820481,3.1864107,2.1460803,3.6845701,-9.3402157,-.49815941,-1.5384898,1.3161199
